,country,Lat,Lng,temp (f),humidity %,cloudiness %,wind (mph)
mao,TD,14.12,15.31,82.26,20,41,12.73
nizhniy tsasuchey,RU,50.52,115.13,23.4,87,0,2.73
tilichiki,RU,60.47,166.1,7.36,93,33,6.62
marau,BR,-28.45,-52.2,71.6,68,40,4.56
takoradi,GH,4.88,-1.76,79.27,85,2,6.46
daru,PG,-9.08,143.21,81.95,71,39,9.06
hun,LY,29.13,15.95,59.58,78,76,2.86
grand gaube,MU,-20.01,57.66,73.99,78,1,11.65
port shepstone,ZA,-30.74,30.45,67.41,78,96,17.98
tessalit,ML,20.2,1.01,69.84,23,0,9.06
arlit,NE,18.74,7.39,71.11,23,0,8.95
itanagar,IN,27.1,93.62,60.91,47,0,3.65
kushmurun,KZ,52.45,64.63,26.15,89,63,14.2
ola,RU,59.58,151.28,5.2,85,0,8.05
jalu,LY,29.03,21.55,64.35,62,1,5.95
newport,US,41.49,-71.31,54,66,40,14.99
taos,US,36.41,-105.57,50,12,20,13.87
port augusta,AU,-32.5,137.77,59,58,90,11.41
naron,ES,43.52,-8.15,61,71,100,5.99
pascagoula,US,30.37,-88.56,78.8,41,1,8.05
rio claro,TT,10.3,-61.18,79,88,20,6.93
half moon bay,US,37.46,-122.43,62.01,67,1,13.87
catumbela,AO,-12.43,13.55,75.96,86,90,11.1
namanyere,TZ,-7.52,31.05,62.87,82,17,3.4
biltine,TD,14.53,20.92,78.58,20,1,16.75
kosa,RU,59.94,55,16.93,97,99,7.9
karasuyama,JP,36.65,140.15,55.99,93,40,1.12
karachi,PK,24.91,67.08,64.4,45,0,8.05
yenisehir,TR,40.26,29.65,37.4,100,0,1.81
canon city,US,38.44,-105.24,48.2,29,1,13.87
kitob,UZ,39.08,66.83,44.62,81,100,3.58
kiruna,SE,67.86,20.23,28.4,92,100,12.75
comodoro rivadavia,AR,-45.87,-67.5,80.6,18,0,13.87
vestmanna,FO,62.16,-7.17,48.2,93,100,26.4
mto wa mbu,TZ,-3.35,35.85,72,66,16,4.43
nemuro,JP,43.32,145.57,50.02,71,9,18.79
puerto carreno,CO,6.19,-67.49,82.35,82,49,7.47
altay,CN,47.87,88.12,39.29,72,100,6.29
tartagal,AR,-22.52,-63.8,77.22,65,90,2.46
bolkhov,RU,53.44,36,26.87,87,1,4.23
kuryk,KZ,43.2,51.65,39.2,69,90,5.75
gardenstown,GB,57.67,-2.34,51.01,80,100,21
levelland,US,33.59,-102.38,71.6,14,75,9.17
palmeira,BR,-25.43,-50.01,63.95,92,75,4.85
koumac,NC,-20.57,164.28,80.82,61,36,1.86
sur,OM,22.57,59.53,71.11,66,0,3.58
senador jose porfirio,BR,-2.59,-51.95,83.62,65,54,1.72
badvel,IN,14.75,79.05,73.62,93,88,3.58
makakilo city,US,21.35,-158.09,87.8,45,1,11.41
te anau,NZ,-45.42,167.72,65.39,40,32,8.28
petropavlovsk-kamchatskiy,RU,53.05,158.65,28.4,74,1,4.47
tadine,NC,-21.55,167.88,77.79,73,100,7.11
west wendover,US,40.74,-114.07,39.2,41,1,8.05
kudahuvadhoo,MV,2.67,72.89,82.54,72,100,6.55
yanam,IN,16.73,82.22,78.22,78,49,7.49
